0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0003100872;BNA SUB 2021-1 CA TF;Remboursement partiel;1,39;;;;;;;;
;TN0003100872;BNA SUB 2021-1 CA TF;Paiement de coupons;0,24;;;;;;;;
;TN0003100880;BNA SUB 2021-1 CA TV;Remboursement partiel;1,11;;;;;;;;
;TN0003100880;BNA SUB 2021-1 CA TV;Paiement de coupons;0,22;;;;;;;;
;TN0003100898;BNA SUB 2021-1 CB TF;Remboursement partiel;1,50;;;;;;;;
;TN0003100898;BNA SUB 2021-1 CB TF;Paiement de coupons;0,53;;;;;;;;
;TN0003100906;BNA SUB 2021-1 CC TF;Remboursement partiel;12,00;;;;;;;;
;TN0003100906;BNA SUB 2021-1 CC TF;Paiement de coupons;2,18;;;;;;;;
;TN0003100914;BNA SUB 2021-1 CD TF;Remboursement partiel;4,00;;;;;;;;
;TN0003100914;BNA SUB 2021-1 CD TF;Paiement de coupons;1,49;;;;;;;;
;TN0003900107;UIB (AA);Dividende;27,68;;;;;;;;
;TN0003900214;UIB (CI);Dividende;1,70;;;;;;;;
