0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0003600491;ATB 2007/1 (CC);Remboursement partiel;0,38;;;;;;;;
;TN0003600491;ATB 2007/1 (CC);Paiement de coupons;0,11;;;;;;;;
;TN0003600509;ATB 2007/1 (CD);Remboursement partiel;1,50;;;;;;;;
;TN0003600509;ATB 2007/1 (CD);Paiement de coupons;1,19;;;;;;;;
;TN1D8Y7YWDY2;AMEN BANK SUB 2023-1 CA TV;Remboursement partiel;4,34;;;;;;;;
;TN1D8Y7YWDY2;AMEN BANK SUB 2023-1 CA TV;Paiement de coupons;1,69;;;;;;;;
;TN1M0Z5P1434;AMEN BANK SUB 2023-1 CA TF;Remboursement partiel;0,60;;;;;;;;
;TN1M0Z5P1434;AMEN BANK SUB 2023-1 CA TF;Paiement de coupons;0,24;;;;;;;;
;TNLQ3RAM47G2;ADVANS 2023-1 TV;Remboursement partiel;1,54;;;;;;;;
;TNLQ3RAM47G2;ADVANS 2023-1 TV;Paiement de coupons;0,67;;;;;;;;
;TNP7IR2367J2;AMEN BANK SUB 2023-1 CB TV;Paiement de coupons;0,73;;;;;;;;
;TNY7O1ZO8K64;AMEN BANK SUB 2023-1 CB TF;Paiement de coupons;0,83;;;;;;;;
;TNYR6G0IV360;ADVANS 2023-1 TF;Remboursement partiel;1,46;;;;;;;;
;TNYR6G0IV360;ADVANS 2023-1 TF;Paiement de coupons;0,65;;;;;;;;
