0;1;2;3;4;5;6;7;8;9;10;11;12;13
TNRGVSC8DE36;;EMP NAT 2022 T3 CB TF;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;16/09/2022;
TN7PM93UZP50;;EMP NAT 2022 T4 CB TV;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;18/11/2022;
TNWRCVSYL730;;EMP NAT 2022 T4 CB TF;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;18/11/2022;
TN3C6DVEWM76;;EMP NAT 2023 T1 CB TV;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;17/02/2023;
TNCGJF5TW027;;EMP NAT 2023 T1 CB TF;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;22/09/2023;
TNCR2TMAK1K8;;EMP NAT 2023 T2 CB TF;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;19/05/2023;
TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;19/05/2023;
TNRS9CVT3SJ7;;EMP NAT 2023 T3 CB TV;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;14/09/2023;
TNVE955M6R90;;EMP NAT 2023 T3 CB TF;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;14/09/2023;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;07/12/2023;
TNMCPXLL1EE2;;EMP NAT 2023 T4 CB TV;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;07/12/2023;
TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;4;0;355 000;0;35 500,000;0,000;0,00%;0,00%;0,00%;15/02/2024;
TNUWXR58DVH5;;EMP NAT 2024 T1 CB TF;30;0;2 320 000;0;232 000,000;0,000;0,00%;0,00%;0,00%;15/02/2024;
TNX0K9990B08;;EMP NAT 2024 T2 CB TF;32;0;2 658 300;0;265 830,000;0,000;0,00%;0,00%;0,00%;15/05/2024;
TNC6WBFURIQ8;;EMP NAT 2024 T2 CB TV;7;0;811 000;0;81 100,000;0,000;0,00%;0,00%;0,00%;15/05/2024;
TNAO0T7V1X56;;EMP NAT 2024 T3 CB TV;2;0;140 000;0;14 000,000;0,000;0,00%;0,00%;0,00%;13/09/2024;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;27;0;2 488 000;0;248 800,000;0,000;0,00%;0,00%;0,00%;13/09/2024;
TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;28;0;2 892 500;0;289 250,000;0,000;0,00%;0,00%;0,00%;06/12/2024;
TN45VKDAPM79;;EMP NAT 2024 T4 CB TV;3;0;180 000;0;18 000,000;0,000;0,00%;0,00%;0,00%;06/12/2024;
TN5XXZZ454U2;;EMP NAT 2022 T1 CC TF;0;0;0;0;0,000;0,000;0,00%;0,00%;0,00%;18/03/2022;
