0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0006610521;Attijari Leasing Subordonne 2018-1 CC TF;Paiement de coupons;0,08;;;;;;;;
;TN0006610521;Attijari Leasing Subordonne 2018-1 CC TF;Remboursement à l’échéance;1,00;;;;;;;;
;TN0007800113;MICROCRED SUB 2021-1 CA TF IF;Paiement de coupons;0,61;;;;;;;;
;TN11TIB0EPV4;EMP NAT 2022 T2 CC TV;Remboursement partiel;3,50;;;;;;;;
;TN11TIB0EPV4;EMP NAT 2022 T2 CC TV;Paiement de coupons;2,87;;;;;;;;
;TN714WHHNWN4;EMP NAT HASSAN 2022 T2 CC;Remboursement partiel;0,00;;;;;;;;
;TNEIXVM1PN64;WIB ISLAMIQUE 2021-2 CA TF;Remboursement partiel;0,30;;;;;;;;
;TNEIXVM1PN64;WIB ISLAMIQUE 2021-2 CA TF;Paiement de coupons;0,05;;;;;;;;
;TNFOOWIRG8H7;EMP NAT 2022 T2 CB TV;Remboursement partiel;49,27;;;;;;;;
;TNFOOWIRG8H7;EMP NAT 2022 T2 CB TV;Paiement de coupons;24,74;;;;;;;;
;TNI9EO2MTU05;EMP NAT 2022 T2 CC TF;Remboursement partiel;6,82;;;;;;;;
;TNI9EO2MTU05;EMP NAT 2022 T2 CC TF;Paiement de coupons;5,21;;;;;;;;
;TNJ1M1ZAWYG5;EMP NAT 2022 T2 CA TF;Paiement de coupons;0,70;;;;;;;;
;TNQCK0BPZ5A4;EMP NAT 2022 T2 CA TV;Paiement de coupons;0,05;;;;;;;;
;TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;Remboursement partiel;60,40;;;;;;;;
;TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;Paiement de coupons;28,08;;;;;;;;
;TNU9AUB15T16;EMP NAT HASSAN 2022 T2 CB;Remboursement partiel;0,00;;;;;;;;
;TNY1F6BOX6F5;CIL 2023-1;Remboursement partiel;6,00;;;;;;;;
;TNY1F6BOX6F5;CIL 2023-1;Paiement de coupons;2,54;;;;;;;;
