0;1;2;3;4;5;6;7;8
TNCMZB6KBBQ0;BTC 26 semaines 29032024;0;-;0;-;0,000;-;-
TNEHX43C1LA4;BTC 52 semaines 23082024;0;-;0;-;0,000;-;-
TNFWMN9T4DO1;BTC 26 semaines 10122024;2;-;129 000;-;124 025,105;-;-
TNG2MI6INDX4;BTCT 13 semaines 28022024;9;-;410 000;-;0,000;-;-
TNG3LXEU5GB0;BTC 26 semaines 23082024;1;-;60 000;-;57 538,778;-;-
TNGNC9BH3AO6;BTC 26 semaines 26072024;1;-;90 000;-;86 308,168;-;-
TNHN6GB3JLR3;BTC 52 semaines 24062024;0;-;0;-;0,000;-;-
TNHNEI9AFR76;BTC 52 semaines 22102024;0;-;0;-;0,000;-;-
TNJWOB3CPHU7;BTC 26 semaines 27112024;1;-;52 200;-;50 000,798;-;-
TNKNX25HM8W2;BTCT 13 semaines 19032024;0;-;0;-;0,000;-;-
TNL17NPJOB57;BTC 26 semaines 28022024;0;-;0;-;0,000;-;-
TNL41ZSZ5YW3;BTCT 26 semaines 24052024;2;-;278;-;274,284;-;-
TNPH2NYB8WM0;BTCT 26 semaines 17062024;0;-;0;-;0,000;-;-
TNQCYB6ZHJ26;BTC 13 semaines 31012024;0;-;0;-;0,000;-;-
TNQFC9GNQ1V8;BTCT 52 semaines 18122024;0;-;0;-;0,000;-;-
TNRVKUFSFL84;BTC 52 semaines 16102024;7;-;107 017;-;104 471,737;-;-
TNSUQ6D4F771;BTCT 52 semaines 06112024;0;-;0;-;0,000;-;-
TNTOTAFX8MM9;BTC 13 semaines 30122024;1;-;28 000;-;27 411,721;-;-
TNTZCKWMMUL3;BTC 13 semaines 29052024;1;-;35 000;-;34 264,652;-;-
TNULPNMSIIF0;BTC 52 semaines 09042024;0;-;0;-;0,000;-;-
TNUQGTFIA9K3;BTC 26 semaines 11102024;5;-;55 400;-;53 488,198;-;-
TNXEPA0853Q6;BTCT 52 semaines 06122024;0;-;0;-;0,000;-;-
"TNXWWZTRB4W2";BTC 52 semaines 16/07/2024;0;-;0;-;0,000;-;-
TNYE8C66U7G5;BTC 26 semaines 31/01/2024;0;-;0;-;0,000;-;-
