0;1;2;3;4;5;6;7;8
TNPH2NYB8WM0;BTCT 26 semaines 17062024;0;-;0;-;0,000;-;-
TNQCYB6ZHJ26;BTC 13 semaines 31012024;0;-;0;-;0,000;-;-
TNQFC9GNQ1V8;BTCT 52 semaines 18122024;0;-;0;-;0,000;-;-
TNRVKUFSFL84;BTC 52 semaines 16102024;7;-;107 017;-;104 471,737;-;-
TNSUQ6D4F771;BTCT 52 semaines 06112024;0;-;0;-;0,000;-;-
TNTOTAFX8MM9;BTC 13 semaines 30122024;1;-;28 000;-;27 411,721;-;-
TNTZCKWMMUL3;BTC 13 semaines 29052024;1;-;35 000;-;34 264,652;-;-
TNULPNMSIIF0;BTC 52 semaines 09042024;0;-;0;-;0,000;-;-
TNUQGTFIA9K3;BTC 26 semaines 11102024;5;-;55 400;-;53 488,198;-;-
TNXEPA0853Q6;BTCT 52 semaines 06122024;0;-;0;-;0,000;-;-
"TNXWWZTRB4W2";BTC 52 semaines 16/07/2024;0;-;0;-;0,000;-;-
TNYE8C66U7G5;BTC 26 semaines 31/01/2024;0;-;0;-;0,000;-;-
