0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000721;BTA 7,2% Fevrier 2027;18 000;18,000;365;9,270;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;18 000;18,000;358;9,270;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;15 900;15,000;90;9,240;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 817;1,000;22;8,990;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 817;1,000;8;8,990;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 817;1,000;15;8,990;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;735;0,700;33;8,740;;;;;;;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;2 453;2,499;61;9,120;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10 000;1,000;13;9,100;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;10 500;10,000;33;8,740;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;5 250;5,000;33;8,740;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;126;0,120;33;8,740;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;1 365;1,300;33;8,740;;;;;;;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;229;0,218;33;8,740;;;;;;;;;;;;
TN0008000838;EMP NAT T1 2021 CB;10 000;1,000;13;9,100;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;4 000;4,000;13;9,100;;;;;;;;;;;;
TN0008000655;BTA 6,6% Mars 2027;997;1,000;15;8,990;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;35 151;36,200;14;8,990;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;530;0,499;89;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;78 636;8,000;15;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49 147;5,000;12;8,990;;;;;;;;;;;;
