0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000838;EMP NAT T1 2021 CB;15 000;1,500;10;9,090;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;12 245;12,300;30;8,490;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;2 090;2,099;30;8,490;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;14 749;15,150;30;8,840;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;18 915;19,000;30;8,490;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7 000;0,700;17;9,100;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;36 648;3,800;30;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4 823;0,500;21;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14 467;1,500;21;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;110 909;11,500;21;8,990;;;;;;;;;;;;
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;2 499;2,501;340;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;16 878;1,750;14;8,990;;;;;;;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;2 461;2,499;30;8,860;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;18 324;1,900;14;8,990;;;;;;;;;;;;
TN0008000606;BTA 6,7% Avril 2028;8 538;9,000;28;9,260;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;946;0,098;25;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;109 944;11,400;14;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;6 751;0,700;10;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;19 289;2,000;30;8,990;;;;;;;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;59 211;59,999;30;8,450;;;;;;;;;;;;
