0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
;ISIN;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;;9 917;1,000;31;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;;14 876;1,500;10;8,990;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;;2 601;3,000;45;8,490;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;;867;1,000;45;8,490;;;;;;;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;;10 000;1,000;31;9,000;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;;6 682;7,001;60;8,500;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;;1 971;2,001;76;7,990;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;;1 971;2,001;76;7,990;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;;6 403;6,500;76;7,990;;;;;;;;;;;;
TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;;2 869;0,300;24;8,990;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;;2 956;3,001;76;7,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;;1 984;0,200;20;7,490;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;;4 959;0,500;20;7,490;;;;;;;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;;1 874;2,000;21;7,500;;;;;;;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;;1 874;2,000;21;7,500;;;;;;;;;;;;
TN0008000580;BTA 6,3% Octobre 2026;;493;0,500;10;7,990;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;;24 538;24,500;60;8,990;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;;1 949;2,000;31;8,250;;;;;;;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;;495;0,499;74;8,700;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;;4 472;5,000;20;8,250;;;;;;;;;;;;
