0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000655;BTA 6,6% Mars 2027;0,70;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;0,90;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;0,71;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;6,61;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;21,90;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;3,02;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;6,04;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;1,00;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;5,01;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;0,90;;;;;;
;TN0008000770;BTA 7,3% Decembre 2027;12,19;;;;;;
;TN0008000770;BTA 7,3% Decembre 2027;7,11;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;2,01;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;2,82;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;3,36;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,61;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,44;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;1,01;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,01;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,51;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;6,03;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,82;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,35;;;;;;
