0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000580;;BTA 6,3% Octobre 2026;27,16;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;26,65;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;26,65;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;27,17;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;27,17;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;0,50;;;;;;
;TN0008000580;;BTA 6,3% Octobre 2026;0,40;;;;;;
;TN0008000622;;BTA 6,3% Mars 2026;4,07;;;;;;
;TN0008000697;;BTA 7% Juillet 2028;30,39;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;10,03;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;3,01;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;1,50;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;1,00;;;;;;
;TN0008000762;;BTA 8% Novembre 2030;0,70;;;;;;
;TN0008000796;;BTA 7,5% Janvier 2028;2,89;;;;;;
;TN0008000796;;BTA 7,5% Janvier 2028;1,96;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;5,04;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;1,51;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;3,51;;;;;;
