0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000606;;BTA 6,7% Avril 2028;35,52;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;0,24;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;4,51;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;3,96;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;0,84;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;5,07;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;5,03;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;8,39;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;0,25;;;;;;
;TNCR2TMAK1K8;;EMP NAT 2023 T2 CB TF;1,10;;;;;;
