0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000655;BTA 6,6% Mars 2027;2,02;;;;;;
TN0008000655;BTA 6,6% Mars 2027;0,50;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;3,83;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;0,38;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;13,69;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;0,50;;;;;;
TN0008000838;EMP NAT T1 2021 CB;1,51;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;3,01;;;;;;
TN46TGZRABR7;TAYSIR 2023-1 TV;1,61;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,02;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,02;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,51;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4,01;;;;;;
TNKF195OZHN9;TAYSIR 2023-1 TF;0,81;;;;;;
TNN34MAL82X0;MICROCRED 2024-1  TF;0,10;;;;;;
TNRGVSC8DE36;EMP NAT 2022 T3 CB TF;1,51;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;4,03;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;3,02;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;60,42;;;;;;
