0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000580;BTA 6,3% Octobre 2026;2,03;;;;;;
;TN0008000580;BTA 6,3% Octobre 2026;2,03;;;;;;
;TN0008000580;BTA 6,3% Octobre 2026;6,61;;;;;;
;TN0008000580;BTA 6,3% Octobre 2026;3,05;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;0,12;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;1,74;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;3,57;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;0,51;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;2,86;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;2,17;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;3,07;;;;;;
;TN0008000762;BTA 8% Novembre 2030;10,22;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;5,12;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;3,34;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,61;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,56;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,51;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,04;;;;;;
;TNGNCCQYSMR1;BTA 9.9% decembre 2033;3,07;;;;;;
;TNGNCCQYSMR1;BTA 9.9% decembre 2033;5,12;;;;;;
;TNLRQIP0OJY4;BTA 9% septembre 2029;1,55;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,48;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,20;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,05;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;3,06;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;3,06;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,83;;;;;;
;TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;1,11;;;;;;
