0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;29,36;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1,61;;;;;;
TN0008000622;BTA 6,3% Mars 2026;44,13;;;;;;
TN0008000655;BTA 6,6% Mars 2027;3,02;;;;;;
TN0008000655;BTA 6,6% Mars 2027;6,55;;;;;;
TN0008000697;BTA 7% Juillet 2028;1,51;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;1,54;;;;;;
TN0008000747;BTA 7,2% Mai 2027;1,91;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,01;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;10,75;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;4,03;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;3,02;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;1,55;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,71;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4,03;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;2,53;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4,31;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,70;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;11,06;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;0,40;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;85,64;;;;;;
