0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000580;BTA 6,3% Octobre 2026;1,01;;;;;;
TN0008000655;BTA 6,6% Mars 2027;7,04;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;5,02;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,34;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;2,52;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;0,52;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7,04;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8,04;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,30;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,01;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,20;;;;;;
