0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000606;;BTA 6,7% Avril 2028;0,72;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;3,06;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;0,51;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;0,80;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;5,01;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;0,60;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;2,21;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;19,05;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;12,03;;;;;;
;TN0008000747;;BTA 7,2% Mai 2027;8,03;;;;;;
