0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000606;BTA 6,7% Avril 2028;9,07;;;;;;
;TN0008000622;BTA 6,3% Mars 2026;3,14;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;15,15;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;6,03;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;0,01;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;1,09;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;0,88;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;15,04;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;12,59;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;2,12;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;14,61;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;8,06;;;;;;
;TN0008000762;BTA 8% Novembre 2030;24,19;;;;;;
;TN0008000770;BTA 7,3% Decembre 2027;1,01;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;10,79;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;3,51;;;;;;
;TN0008000838;EMP NAT T1 2021 CB;1,50;;;;;;
;TN2781ZB9E10;EMP NAT 2024 T1 CB TV;6,56;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;10,09;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;1,51;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,04;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4,53;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,01;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;11,03;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,50;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,01;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;11,54;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,86;;;;;;
