0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000663;BTA 7,5% Juillet 2032;1,01;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;90,93;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;11,95;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,43;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,45;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,60;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,01;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;7,52;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;8,03;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,31;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;8,03;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2,01;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,38;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4,02;;;;;;
