0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000622;BTA 6,3% Mars 2026;15,26;;;;;;
;TN0008000622;BTA 6,3% Mars 2026;44,43;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;1,01;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;12,39;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;2,11;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;19,13;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;1,01;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;1,31;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;24,37;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,22;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8,53;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,83;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,02;;;;;;
;TNGNCCQYSMR1;BTA 9.9% decembre 2033;2,52;;;;;;
;TNJL4N1SD7B2;BTA 8,8% septembre 2032;2,55;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,43;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,20;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,55;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;18,28;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;6,09;;;;;;
;TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;60,42;;;;;;
