0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000606;;BTA 6,7% Avril 2028;0,92;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;6,72;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;7,05;;;;;;
;TN0008000655;;BTA 6,6% Mars 2027;1,07;;;;;;
;TN0008000705;;BTA 6,5% Juin 2025;0,48;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;2,00;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;4,01;;;;;;
;TN0008000739;;BTA 7,4% Fevrier 2030;1,00;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;8,01;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,40;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,34;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;9,03;;;;;;
;TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;0,52;;;;;;
;TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;0,20;;;;;;
