0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000580;BTA 6,3% Octobre 2026;5,02;;;;;;
;TN0008000580;BTA 6,3% Octobre 2026;3,01;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;0,18;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;15,65;;;;;;
;TN0008000655;BTA 6,6% Mars 2027;5,02;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;6,79;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;6,13;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;3,07;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;0,20;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;0,43;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;5,02;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;6,02;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;0,51;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;0,20;;;;;;
;TN2781ZB9E10;EMP NAT 2024 T1 CB TV;0,25;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,01;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7,03;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,02;;;;;;
;TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;2,55;;;;;;
;TNHUVZNLATV4;BTA 8% 31 Janvier 2029;0,92;;;;;;
;TNHUVZNLATV4;BTA 8% 31 Janvier 2029;2,73;;;;;;
;TNHUVZNLATV4;BTA 8% 31 Janvier 2029;3,99;;;;;;
;TNHUVZNLATV4;BTA 8% 31 Janvier 2029;4,37;;;;;;
;TNHUVZNLATV4;BTA 8% 31 Janvier 2029;5,43;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,03;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;3,61;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,31;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,55;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,10;;;;;;
