0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000606;BTA 6,7% Avril 2028;5,05;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;2,01;;;;;;
;TN0008000663;BTA 7,5% Juillet 2032;0,15;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;4,02;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;3,01;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;11,90;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;2,20;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;19,01;;;;;;
;TN0008000762;BTA 8% Novembre 2030;24,95;;;;;;
;TN0008000762;BTA 8% Novembre 2030;7,04;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,56;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,35;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,01;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,40;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4,52;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,50;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,48;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;6,27;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,87;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,27;;;;;;
;TNPDPODY2398;EMP NAT 2024 T3 CC TF;1,53;;;;;;
;TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2,03;;;;;;
;TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2,03;;;;;;
;TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1,53;;;;;;
;TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;6,11;;;;;;
