0;1;2;3;4;5
TN0008000721;BTA 7,2% Fevrier 2027;1 342;1,500;10;8,250
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1 487;1,499;74;8,700
TN0008000721;BTA 7,2% Fevrier 2027;4 472;5,000;19;8,250
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;991;0,999;45;8,350
TN0008000721;BTA 7,2% Fevrier 2027;4 472;5,000;18;8,250
TN0008000762;BTA 8% Novembre 2030;751;0,700;10;9,240
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 967;0,400;90;8,990
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;10 000;1,000;10;9,600
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;495;0,499;25;8,300
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;495;0,499;40;8,400
TN0008000580;BTA 6,3% Octobre 2026;395;0,401;10;7,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;25 784;2,600;17;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 959;0,500;40;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 463;0,450;13;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;79 334;8,000;18;8,990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5 951;5,999;75;8,750
