0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000580;BTA 6,3% Octobre 2026;0,20;;;;;;
TN0008000606;BTA 6,7% Avril 2028;33,30;;;;;;
TN0008000606;BTA 6,7% Avril 2028;32,72;;;;;;
TN0008000606;BTA 6,7% Avril 2028;32,72;;;;;;
TN0008000606;BTA 6,7% Avril 2028;33,31;;;;;;
TN0008000606;BTA 6,7% Avril 2028;33,31;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;8,53;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;3,01;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;7,02;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;5,01;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;0,50;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;2,70;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;6,49;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,71;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;2,00;;;;;;
TN0008000838;EMP NAT T1 2021 CB;1,65;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;8,01;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,03;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,45;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,02;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;11,03;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,50;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,51;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,70;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,51;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,62;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;8,03;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6,03;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,04;;;;;;
