0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14 422;1,500;5;8,500;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9 615;1,000;13;8,500;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5 769;0,600;12;8,500;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;6 000;0,624;180;8,500;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;40 381;4,200;30;8,500;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19 229;2,000;15;8,500;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;38 458;4,000;14;8,500;;;;;;;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;61 000;6,100;13;8,600;;;;;;;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;7 500;0,750;12;8,600;;;;;;;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;282;0,300;22;7,500;;;;;;;;;;;;
TN0008000762;BTA 8% Novembre 2030;3 731;3,843;29;8,400;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;96 144;10,000;23;8,500;;;;;;;;;;;;
