0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000770;BTA 7,3% Decembre 2027;0,75;;;;;;
TN0008000770;BTA 7,3% Decembre 2027;2,24;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;6,61;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;9,01;;;;;;
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;8,01;;;;;;
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;3,84;;;;;;
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;0,50;;;;;;
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;36,69;;;;;;
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;2,80;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4,52;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,40;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;7,53;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,00;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,20;;;;;;
