0;1;2
TN0008000762;BTA 8% Novembre 2030;0,41
TN0008000762;BTA 8% Novembre 2030;12,28
TN0008000812;BTA 7,5% 13/12/2028;0,25
TN0008000812;BTA 7,5% 13/12/2028;0,55
TN0008000812;BTA 7,5% 13/12/2028;0,28
TN0008000812;BTA 7,5% 13/12/2028;1,50
TN0008000812;BTA 7,5% 13/12/2028;3,51
TN0008000812;BTA 7,5% 13/12/2028;0,55
TN0008000838;EMP NAT T1 2021 CB;1,53
TN0008000838;EMP NAT T1 2021 CB;1,53
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;1,20
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,71
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,82
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8,54
TNAAGB5WL0L0;BH LEASING 2024-2;0,40
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,30
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,01
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5,01
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,01
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,30
TNGNCCQYSMR1;BTA 9.9% decembre 2033;0,20
TNN34MAL82X0;MICROCRED 2024-1  TF;1,92
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,70
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;6,32
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;18,14
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,01
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,81
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,30
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5,44
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1,00
TNZW31OFWNB5;MICROCRED 2024-1 TV;0,71
