0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000747;BTA 7,2% Mai 2027;57,66;;;;;;
TN0008000762;BTA 8% Novembre 2030;24,25;;;;;;
TN0008000838;EMP NAT T1 2021 CB;1,50;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;0,62;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;5,02;;;;;;
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;0,82;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;2,55;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,70;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;7,03;;;;;;
TNFGSJPDAWE9;ENDA TAMWEEL 2023-1 CA TV;1,65;;;;;;
TNLRQIP0OJY4;BTA 9% septembre 2029;0,36;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,72;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;1,34;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;24,25;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2,02;;;;;;
