0;1;2
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,71
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;2,05
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;3,07
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,00
TNGNCCQYSMR1;BTA 9.9% decembre 2033;30,25
TNLRQIP0OJY4;BTA 9% septembre 2029;8,06
TNLRQIP0OJY4;BTA 9% septembre 2029;7,06
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5,52
TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;0,30
TNX0K9990B08;EMP NAT 2024 T2 CB TF;7,05
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,30
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3,83
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,02
TNX0K9990B08;EMP NAT 2024 T2 CB TF;34,98
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;60,44
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;10,08
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2,01
