0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000606;BTA 6,7% Avril 2028;2,03;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;9,06;;;;;;
;TN0008000622;BTA 6,3% Mars 2026;1,21;;;;;;
;TN0008000663;BTA 7,5% Juillet 2032;3,61;;;;;;
;TN0008000663;BTA 7,5% Juillet 2032;2,58;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;2,11;;;;;;
;TN0008000796;BTA 7,5% Janvier 2028;39,38;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;2,03;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;10,54;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,91;;;;;;
;TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,76;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,82;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,40;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,00;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,12;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,00;;;;;;
;TNOODT102PF5;BTA 9,87% 22 Octobre 2031;1,55;;;;;;
;TNOODT102PF5;BTA 9,87% 22 Octobre 2031;1,03;;;;;;
;TNOODT102PF5;BTA 9,87% 22 Octobre 2031;3,61;;;;;;
;TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;5,12;;;;;;
;TNPDPODY2398;EMP NAT 2024 T3 CC TF;6,55;;;;;;
;TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;7,52;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;3,51;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;5,02;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;10,03;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,74;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,70;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,70;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,74;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,74;;;;;;
