0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000812;BTA 7,5% 13/12/2028;626;0,600;10;9,230;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8 000;0,800;14;8,990;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;85 000;8,500;13;8,990;;;;;;;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;4 000;0,400;23;8,000;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;139 550;14,500;3;8,910;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;16 361;1,700;90;8,410;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19 249;2,000;3;8,910;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2 888;0,300;17;7,410;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;963;0,100;9;7,410;;;;;;;;;;;;
