0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48
;Durée;Durée;;;Nombre;;;Volume en DT*;Volume en DT*;;En cours en DT;En cours en DT;;;Taux Moyen;;;Taux plus haut %;Taux plus haut %;;Taux plus bas %;Taux plus bas %;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;d'Opérations;Pondéré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;2024;;;;2025;;;;2024;;;;2025;;;;;;;;2024;;;;2025;;;;2024;;;;2025;;;;2024;;;;2025;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;De 1 à 7 jours;;1883;;70;;10 070 318 933,20;;451 678 262,47;;10 000 000,00;;8,93;;8,24;;10 ,05;;9,10;;6,95;;7,99;;;;;;;;;;;;;;;;;;;;;;;;;
;De 8 à 90 jours;;10542;;535;;53 477 081 134,45;;2 795 698 054,31;;2 169 900 622,85;;8,98;;8,86;;10 ,73;;9,99;;7,49;;7,49;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Au-delà de 90 jours;;1310;;86;;6 563 075 260,60;;621 549 260,10;;1 523 568 800,71;;9,50;;9,14;;10 ,53;;10,44;;7,56;;7,70;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;TOTAL :;;;;13 735;;;;691;;;;70 110 475 328,25;;;;3 868 925 576,88;;;;3 703 469 423,55;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
