0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000580;BTA 6,3% Octobre 2026;1,53;;;;;;
;TN0008000663;BTA 7,5% Juillet 2032;0,42;;;;;;
;TN0008000663;BTA 7,5% Juillet 2032;5,24;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;0,00;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;3,03;;;;;;
;TN0008000721;BTA 7,2% Fevrier 2027;17,94;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;1,52;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;0,91;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;1,21;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;6,05;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;5,66;;;;;;
