0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;0,22;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1,41;;;;;;
TN0008000622;BTA 6,3% Mars 2026;5,03;;;;;;
TN0008000622;BTA 6,3% Mars 2026;8,26;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1,51;;;;;;
TN0008000622;BTA 6,3% Mars 2026;0,12;;;;;;
TN0008000622;BTA 6,3% Mars 2026;10,07;;;;;;
TN0008000747;BTA 7,2% Mai 2027;3,42;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,20;;;;;;
TN0008000747;BTA 7,2% Mai 2027;3,84;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,60;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5,13;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4,23;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,75;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5,92;;;;;;
