0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000606;BTA 6,7% Avril 2028;0,30;;;;;;
;TN0008000697;BTA 7% Juillet 2028;1,01;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;3,02;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;57,81;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;2,15;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;0,82;;;;;;
;TN0008000705;BTA 6,5% Juin 2025;1,01;;;;;;
;TN0008000770;BTA 7,3% Decembre 2027;0,70;;;;;;
;TN0008000796;BTA 7,5% Janvier 2028;0,01;;;;;;
;TN0008000796;BTA 7,5% Janvier 2028;1,92;;;;;;
;TN0008000796;BTA 7,5% Janvier 2028;6,52;;;;;;
;TN0008000796;BTA 7,5% Janvier 2028;6,20;;;;;;
;TN0008000796;BTA 7,5% Janvier 2028;6,55;;;;;;
;TN0008000796;BTA 7,5% Janvier 2028;0,10;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;14,84;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,50;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,25;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;0,27;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;1,30;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;1,00;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;1,20;;;;;;
;TN0008000812;BTA 7,5% 13/12/2028;1,00;;;;;;
;TN2781ZB9E10;EMP NAT 2024 T1 CB TV;1,55;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;0,68;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;0,08;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;0,02;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;3,89;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;1,16;;;;;;
;TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;43,80;;;;;;
;TNJL4N1SD7B2;BTA 8,8% septembre 2032;1,01;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7,03;;;;;;
;TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;8,23;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,51;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,81;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,01;;;;;;
;TNVE955M6R90;EMP NAT 2023 T3 CB TF;3,07;;;;;;
;TNVE955M6R90;EMP NAT 2023 T3 CB TF;3,07;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,20;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;10,03;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;9,03;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,00;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,01;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,40;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,20;;;;;;
