0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000580;BTA 6,3% Octobre 2026;0,55;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;38,85;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;6,26;;;;;;
TNAAGB5WL0L0;BH LEASING 2024-2;0,61;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;8,75;;;;;;
TNL8PGUB9C93;AMEN BANK SUB 2023-2 CA TV;1,66;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,14;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;9,24;;;;;;
