0;1;2
TN0008000812;BTA 7,5% 13/12/2028;3,46
TN0008000812;BTA 7,5% 13/12/2028;0,62
TN0008000812;BTA 7,5% 13/12/2028;0,57
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9,02
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7,02
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,30
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14,13
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,61
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,82
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,85
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,27
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,02
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4,03
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,83
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,71
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,10
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,12
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;10,03
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,01
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,10
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,90
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8,06
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6,51
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,60
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,35
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,65
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,15
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;0,18
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;0,17
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,30
TNGNCCQYSMR1;BTA 9.9% decembre 2033;99,24
TNLRQIP0OJY4;BTA 9% septembre 2029;0,31
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;11,04
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,30
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,01
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3,06
