0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;5,65;;;;;;
TN0008000705;BTA 6,5% Juin 2025;1,01;;;;;;
TN0008000705;BTA 6,5% Juin 2025;2,52;;;;;;
TN0008000747;BTA 7,2% Mai 2027;3,01;;;;;;
TN0008000747;BTA 7,2% Mai 2027;3,01;;;;;;
TN0008000747;BTA 7,2% Mai 2027;2,01;;;;;;
TN0008000762;BTA 8% Novembre 2030;12,39;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,30;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;11,88;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,70;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;19,78;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,11;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,53;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;10,17;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,71;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,52;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,23;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,71;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;11,04;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8,73;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5,02;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,80;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,30;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,40;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,31;;;;;;
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;0,07;;;;;;
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;0,06;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;0,65;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;0,25;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;7,64;;;;;;
