0;1;2;3;4;5;6;7;8;9;10;11
TN87SF5T9RO3;BTA 9,8% 31 Octobre 2028;10;-;99 253;-;93 100,000;-;-;-;-;-
TN0008000812;BTA 7,5% 13/12/2028;21;3;11 060;1 044;10 469,511;979,392;9,48%;9,80%;9,48%;13/01/2025
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;5;-;28 217;-;15 768,644;-;-;-;-;-
TNLRQIP0OJY4;BTA 9% septembre 2029;2;1;1 609;1 000;1 610,631;1 009,232;9,82%;9,82%;9,82%;-
TN0008000739;BTA 7,4%Févr 2030;8;-;62 001;-;30 405,688;-;-;-;-;-
TN0008000762;BTA 8% Novembre 2030;4;-;2 650;-;2 391,052;-;-;-;-;-
TNN0SOORH1F1;BTA 8,25% juin 2031;2;-;5 086;-;4 940,938;-;-;-;-;-
TNOODT102PF5;BTA 9,87% 22 Octobre 2031;9;-;103 414;-;55 224,576;-;-;-;-;-
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;-;13;-;96 398;-;96 876,754;9,85%;9,87%;9,85%;08/01/2025
TN0008000663;BTA 7,5% 07/2032;5;-;428;-;378,203;-;-;-;-;-
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;13;4;85 850;22 950;86 035,178;23 179,481;9,83%;9,84%;9,83%;06/01/2025
TNGNCCQYSMR1;BTA 9.9% decembre 2033;1;-;141 844;-;-;-;-;-;-;-
TNV7HGOLTYL8;BTA 9,83% 28 mars 2034;-;12;-;93 700;-;93 721,265;9,82%;10,00%;9,82%;-
