0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;9,07;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1,23;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;1,52;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;14,09;;;;;;
TN0008000747;BTA 7,2% Mai 2027;1,10;;;;;;
TN0008000747;BTA 7,2% Mai 2027;5,11;;;;;;
TN0008000747;BTA 7,2% Mai 2027;35,78;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,84;;;;;;
TN0008000762;BTA 8% Novembre 2030;30,89;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,52;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;2,00;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3,51;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,00;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,40;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,50;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,60;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,40;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,88;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,04;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,00;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,30;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,30;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14,51;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,00;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,50;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,64;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,40;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,50;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,30;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,63;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;8,03;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,50;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,20;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,81;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4,00;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,80;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10,03;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;5,54;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;6,55;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3,48;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,14;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,85;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;6,01;;;;;;
