0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000721;BTA 7,2% Fevrier 2027;20,14;;;;;;
TN0008000747;BTA 7,2% Mai 2027;1,25;;;;;;
TN3E0X2QE0C0;BTC 52 semaines 20052025;23,05;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,10;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,52;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,20;;;;;;
TNMUZFAMCT05;BTCT 52 semaines 14102025;67,48;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;4,97;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,67;;;;;;
