0;1;2;3;4;5;6;7;8;9;10;11;12
;;Libellé;;;;Opérations du jour;;;;Cumul de l’Année;;
;;;;;;;;;;;;
;Cotation Electronique : Titres de capital;;6,60;;63,86;;;;;;;
;;;;;;;;;;;;
;Opération de Bloc;;-;;25,62;;;;;;;
;Cotation Electronique : Valeurs du Trésor;;0,00;;9,54;;;;;;;
;Cotation Electronique : Emprunts Obligataire;;-;;0,35;;;;;;;
;Avis d'Exécution;;1,46;;49,80;;;;;;;
;;;;;;;;;;;;
;Avis d'Exécution offre Publique;;-;;-;;;;;;;
;;;;;;;;;;;;
;Cotation sur panneaux;;-;;0,04;;;;;;;
;Opérations d'enregistrement;;-;;0,00;;;;;;;
;;;;;;;;;;;;
;Offre à prix ferme;;-;;-;;;;;;;
;;;;;;;;;;;;
