0;1;2;3;4;5;6;7;8;9;10;11
TNLRQIP0OJY4;BTA 9% septembre 2029;2;-;1 609;-;1 610,631;-;-;-;-;-
TN0008000739;BTA 7,4%Févr 2030;8;-;62 001;-;30 405,688;-;-;-;-;-
TN0008000762;BTA 8% Novembre 2030;4;-;2 650;-;2 391,052;-;-;-;-;-
TNN0SOORH1F1;BTA 8,25% juin 2031;2;-;5 086;-;4 940,938;-;-;-;-;-
TNOODT102PF5;BTA 9,87% 22 Octobre 2031;9;-;103 414;-;55 224,576;-;-;-;-;-
TN0008000663;BTA 7,5% 07/2032;5;-;428;-;378,203;-;-;-;-;-
TN0008000804;BTA 8% Mars 2033;0;-;0;-;0,000;-;-;-;-;-
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;13;4;85 850;22 950;86 035,178;23 179,482;9,83%;9,84%;9,84%;06/01/2025
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;0;5;0;44 398;0;44 398,00;9,87%;9,87%;9,87%;08/01/2025
TNGNCCQYSMR1;BTA 9.9% decembre 2033;1;-;141 844;-;0,000;-;-;-;-;-
