0;1;2;3;4;5;6;7;8;9;10;11
;SIN;;;Libellé;;;Type;;;Montant (MDT);
TN0002102127;TUNISIE LEASING ET FACTORING 2019-1 CB TF;Remboursement partiel;2,04;;;;;;;;
TN0002102127;TUNISIE LEASING ET FACTORING 2019-1 CB TF;Paiement de coupons;0,48;;;;;;;;
TN0007200199;WIB ISLAMIQUE 2019-1 CC;Remboursement partiel;0,02;;;;;;;;
TN0007200199;WIB ISLAMIQUE 2019-1 CC;Paiement de coupons;0,00;;;;;;;;
TN0007200207;WIB ISLAMIQUE 2019-1 CD;Remboursement partiel;0,61;;;;;;;;
TN0007200207;WIB ISLAMIQUE 2019-1 CD;Paiement de coupons;0,14;;;;;;;;
TNIEZ6J8J5T9;ADVANS 2022-3;Remboursement partiel;2,00;;;;;;;;
TNIEZ6J8J5T9;ADVANS 2022-3;Paiement de coupons;0,60;;;;;;;;
TNNGTFLC2986;SOCIETE TUNISIENNE D'AUTOMOBILES;Dividende;4,08;;;;;;;;
