0;1;2;3;4;5;6;7;8;9;10;11;12
;;Libellé;;;;Opérations du jour;;;;Cumul de l’Année;;
;;;;;;;;;;;;
;Cotation Electronique : Titres de capital;;6,39;;538,13;;;;;;;
;;;;;;;;;;;;
;Opération de Bloc;;-;;86,95;;;;;;;
;Cotation Electronique : Valeurs du Trésor;;-;;104,36;;;;;;;
;Cotation Electronique : Emprunts Obligataire;;-;;12,72;;;;;;;
;Avis d'Exécution;;1,81;;564,54;;;;;;;
;Avis d'Exécution offre Publique;;-;;-;;;;;;;
;Cotation sur panneaux;;-;;0,04;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;Opérations d'enregistrement;;-;;0,00;;;;;;;
;;;;;;;;;;;;
;Offre à prix ferme;;-;;-;;;;;;;
