0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000762;BTA 8% Novembre 2030;4,13;;;;;;
TNC6WBFURIQ8;EMP NAT 2024 T2 CB TV;3,29;;;;;;
TNC6WBFURIQ8;EMP NAT 2024 T2 CB TV;10,85;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,18;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;4,03;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,10;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10,03;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,65;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;0,25;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,14;;;;;;
