0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0003600640;ATB Subordonne 2017 CA TV;Paiement de coupons;0,99;;;;;;;;
;TN0003600640;ATB Subordonne 2017 CA TV;Remboursement à l’échéance;9,83;;;;;;;;
;TN0003600657;ATB Subordonne 2017 CB TV;Remboursement partiel;0,08;;;;;;;;
;TN0003600657;ATB Subordonne 2017 CB TV;Paiement de coupons;0,03;;;;;;;;
;TNEIXVM1PN64;WIB ISLAMIQUE 2021-2 CA TF;Remboursement partiel;0,30;;;;;;;;
;TNEIXVM1PN64;WIB ISLAMIQUE 2021-2 CA TF;Paiement de coupons;0,05;;;;;;;;
;TNHFN9X6ARP3;ADVANS 2022-1 CA TF;Remboursement partiel;1,00;;;;;;;;
;TNHFN9X6ARP3;ADVANS 2022-1 CA TF;Paiement de coupons;0,29;;;;;;;;
;TNSSJXI7X8K1;ADVANS 2022-1 CB TF;Remboursement partiel;2,00;;;;;;;;
;TNSSJXI7X8K1;ADVANS 2022-1 CB TF;Paiement de coupons;0,99;;;;;;;;
