0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0004620134;BTK 2009 Categorie C;Paiement de coupons;0,17;;;;;;;;
;TN0004620134;BTK 2009 Categorie C;Remboursement à l’échéance;1,99;;;;;;;;
;TN0004620142;BTK 2009 Categorie D;Remboursement partiel;0,25;;;;;;;;
;TN0004620142;BTK 2009 Categorie D;Paiement de coupons;0,09;;;;;;;;
;TN0007310576;HANNIBAL LEASE SUB 2021-1 CA TF;Remboursement partiel;2,40;;;;;;;;
;TN0007310576;HANNIBAL LEASE SUB 2021-1 CA TF;Paiement de coupons;0,48;;;;;;;;
;TN0007310584;HANNIBAL LEASE SUB 2021-1 CB TF;Remboursement partiel;0,60;;;;;;;;
;TN0007310584;HANNIBAL LEASE SUB 2021-1 CB TF;Paiement de coupons;0,24;;;;;;;;
;TNN64EKL4XE5;BTC 52 semaines 26022025;Remboursement à l’échéance;235,00;;;;;;;;
