0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0002601235;STB SUB 2020-2 CA TF;Remboursement partiel;1,16;;;;;;;;
;TN0002601235;STB SUB 2020-2 CA TF;Paiement de coupons;0,19;;;;;;;;
;TN0002601243;STB SUB 2020-2 CA TV;Remboursement partiel;0,41;;;;;;;;
;TN0002601243;STB SUB 2020-2 CA TV;Paiement de coupons;0,08;;;;;;;;
;TN0002601250;STB SUB 2020-2 CB TF;Remboursement partiel;0,10;;;;;;;;
;TN0002601250;STB SUB 2020-2 CB TF;Paiement de coupons;0,03;;;;;;;;
;TN2781ZB9E10;EMP NAT 2024 T1 CB TV;Paiement de coupons;7,63;;;;;;;;
;TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;Paiement de coupons;40,01;;;;;;;;
;TN6DQ00JBLT7;EMP NAT 2023 T1 CA TF;Paiement de coupons;0,23;;;;;;;;
;TN85TI1TIY25;EMP NAT 2024 T1 CC TV;Paiement de coupons;3,13;;;;;;;;
;TNBYTZTD19Z0;EMP NAT 2023 T1 CA TV;Paiement de coupons;0,02;;;;;;;;
;TNCGJF5TW027;EMP NAT 2023 T1 CB TF;Paiement de coupons;14,49;;;;;;;;
;TNHZAONAPWF9;EMP NAT 2023 T1 CC TV;Paiement de coupons;2,13;;;;;;;;
;TNJ48E224391;EMP NAT 2024 T1 CA TV;Paiement de coupons;0,00;;;;;;;;
;TNLI8MDN3K59;EMP NAT 2024 T1 CA TF;Paiement de coupons;0,24;;;;;;;;
;TNRLFZ5FIX29;EMP NAT 2024 T1 CC TF;Paiement de coupons;22,97;;;;;;;;
;TNTKTEO5CIW5;EMP NAT 2023 T1 CC TF;Paiement de coupons;12,91;;;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;Paiement de coupons;68,27;;;;;;;;
