0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0OU20VQYS5;EMP NAT 2022 T1 CB TV;Remboursement partiel;38,45;;;;;;;;
;TN0OU20VQYS5;EMP NAT 2022 T1 CB TV;Paiement de coupons;20,15;;;;;;;;
;TN5XXZZ454U2;EMP NAT 2022 T1 CC TF;Remboursement partiel;6,62;;;;;;;;
;TN5XXZZ454U2;EMP NAT 2022 T1 CC TF;Paiement de coupons;4,82;;;;;;;;
;TNBHB9XIP394;EMP NAT HASSAN 2022 T1 CB;Remboursement partiel;0,00;;;;;;;;
;TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;Remboursement partiel;56,53;;;;;;;;
;TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;Paiement de coupons;25,15;;;;;;;;
;TNLEGO8CKWX3;EMP NAT 2022 T1 CA TV;Paiement de coupons;0,03;;;;;;;;
;TNOI6DZE1IQ0;BTC 52 semaines 18032025;Remboursement à l’échéance;175,50;;;;;;;;
;TNPSL0PEJVO7;EMP NAT 2022 T1 CA TF;Paiement de coupons;0,87;;;;;;;;
;TNQHMI7RIBR5;EMP NAT 2022 T1 CC TV;Remboursement partiel;2,11;;;;;;;;
;TNQHMI7RIBR5;EMP NAT 2022 T1 CC TV;Paiement de coupons;1,80;;;;;;;;
;TNW1CN5IM5T4;EMP NAT HASSAN 2022 T1 CC;Remboursement partiel;0,00;;;;;;;;
