0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0001300664;BTE 2019-1 CA TF;Paiement de coupons;0,49;;;;;;;;
;TN0001300664;BTE 2019-1 CA TF;Remboursement à l’échéance;4,45;;;;;;;;
;TN0001300672;BTE 2019-1 CA TV;Paiement de coupons;0,04;;;;;;;;
;TN0001300672;BTE 2019-1 CA TV;Remboursement à l’échéance;0,35;;;;;;;;
;TN0001300680;BTE 2019-1 CB TF;Remboursement partiel;1,77;;;;;;;;
;TN0001300680;BTE 2019-1 CB TF;Paiement de coupons;0,61;;;;;;;;
;TN0001300698;BTE 2019-1 CBTV;Remboursement partiel;0,20;;;;;;;;
;TN0001300698;BTE 2019-1 CBTV;Paiement de coupons;0,07;;;;;;;;
;TN0003100831;BNA 2019-1 CA TF;Paiement de coupons;0,55;;;;;;;;
;TN0003100831;BNA 2019-1 CA TF;Remboursement à l’échéance;5,20;;;;;;;;
;TN0003100849;BNA 2019-1 CB TF;Remboursement partiel;4,80;;;;;;;;
;TN0003100849;BNA 2019-1 CB TF;Paiement de coupons;1,58;;;;;;;;
;TN0003900305;UIB 2012-1 CC;Remboursement partiel;0,02;;;;;;;;
;TN0003900305;UIB 2012-1 CC;Paiement de coupons;0,01;;;;;;;;
