0;1;2
TN0008000705;BTA 6,5% Juin 2025;20,47
TN0008000739;BTA 7,4% Fevrier 2030;5,81
TN0008000747;BTA 7,2% Mai 2027;3,25
TN0008000747;BTA 7,2% Mai 2027;5,47
TN0008000747;BTA 7,2% Mai 2027;7,50
TN0008000747;BTA 7,2% Mai 2027;0,14
TN0008000762;BTA 8% Novembre 2030;2,06
TN0008000812;BTA 7,5% 13/12/2028;0,51
TN0008000812;BTA 7,5% 13/12/2028;0,65
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,50
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,50
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,80
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8,53
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,02
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,02
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,60
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,60
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;8,02
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,30
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;0,75
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;0,09
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;0,02
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,01
