0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
ISIN;SIN;Libellé;Libellé;;Nombre;;;Nombre Titres;ombre Titres;;Montant (mdt);Montant (mdt);Taux sur l'Année;Taux sur l'Année;;ate;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Opérations;ernière;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2024;;;2025;;;;024;;;025;;;;2024;;;;025;;;Plus Bas;;;Plus Haut;;;TMP;;;pération;
TN3E0X2QE0C0;BTC 52 semaines 20052025;2;-;;21 900;-;;20 088,983;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNXBWNLLU623;BTCT 26 semaines 06062025;2;2;;138 100;12 000;;132 404,783;;11 918,268;7,90%;7,90%;7,90%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000705;BTA 6,5% 06/2025;39;16;;167 951;14 486;;53 359,404;;15 061,365;8,50%;9,97%;99,70%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TN3O0VDCF6T7;BTCT 26 semaines 18062025;10;-;;1 000 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOIFDS2U4S0;BTCT 52 semaines 23062025;9;-;;960 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3ZI0XTRW84;BTCT 26 semaines 11072025;-;1;;-;32 000;;-;;30 673,131;8,70%;8,70%;8,70%;13/01/2025;;;;;;;;;;;;;;;;;;;;;;;;
TNNIY0O9TTE6;BTCT 52 semaines 15072025;9;-;;1 000 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN20X3SC7J74;BTCT 26 semaines 18072025;-;1;;-;90 000;;-;;86 288,170;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNH7HFOU5LW6;BTCT 26 semaines 11082025;-;1;;-;30 000;;-;;28 756,060;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNHC5CD4GEQ0;BTCT 26 semaines 12082025;-;2;;-;40 880;;-;;39 157,713;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNZZMSC80KH7;BTCT 26 semaines 15082025;-;1;;-;60 000;;-;;57 525,447;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNKTJ8VPOTZ2;BTCT 52 semaines 22082025;10;-;;700 000;-;;-;;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3TDNYC24V7;BTCT 26 semaines 25082025;-;1;;-;60 000;;-;;57 512,121;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNNI8DD20JG6;BTCT 26 semaines 16092025;-;2;;-;31 400;;-;;30 077,108;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNJJ7UOIZ8A1;BTCT 26 semaines 25092025;-;1;;-;20 000;;-;;19 157,393;8,70%;8,70%;8,70%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNWK2XJDM1T6;BTCT 26 semaines 03102025;-;4;;-;118 500;;-;;113 929,107;8,20%;8,20%;8,20%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;15;5;;186 664;10 152;;47 583,985;;10 336,851;8,80%;8,95%;8,93%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNEQKUV2JOR6;BTCT 52 semaines 10022026;-;1;;-;21 818;;-;;20 000,020;8,99%;8,99%;8,99%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNESLZG82JC4;BTCT 52 semaines 25022026;-;10;;-;1 200 000;;-;;-;8,98%;8,98%;8,98%;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000622;BTA 6,3% 03/2026;9;7;;620;857;;615,666;;945,738;4,10%;10,02%;10,02%;-;;;;;;;;;;;;;;;;;;;;;;;;
TNMP6ILMGGS7;BTCT 52 semaines 17032026;-;4;;-;143 000;;-;;131 084,559;8,99%;8,99%;8,99%;-;;;;;;;;;;;;;;;;;;;;;;;;
