0;1;2;3;4;5;6;7;8;9;10;11;12
;;Libellé;;;;Opérations du jour;;;;Cumul de l’Année;;
;Cotation Electronique : Titres de capital;;12,05;;550,18;;;;;;;
;Opération de Bloc;;-;;86,95;;;;;;;
;Cotation Electronique : Valeurs du Trésor;;0,02;;104,38;;;;;;;
;Cotation Electronique : Emprunts Obligataire;;-;;12,72;;;;;;;
;Avis d'Exécution;;2,11;;566,65;;;;;;;
;Avis d'Exécution offre Publique;;-;;-;;;;;;;
;;;;;;;;;;;;
;Cotation sur panneaux;;-;;0,04;;;;;;;
;Opérations d'enregistrement;;-;;0,00;;;;;;;
;Offre à prix ferme;;-;;-;;;;;;;
