0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;168;0,170;10;7,990;;;;;;;;;;;;
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;178;0,180;10;7,990;;;;;;;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;477;0,500;90;8,500;;;;;;;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;7 688;6,999;31;9,090;;;;;;;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;8 786;7,999;31;9,090;;;;;;;;;;;;
"TNOXRGYG8RL8";BTA 8% 24 Novembre 2025;70;0,071;61;8,000;;;;;;;;;;;;
"TNOXRGYG8RL8";BTA 8% 24 Novembre 2025;58;0,059;61;8,000;;;;;;;;;;;;
"TNOXRGYG8RL8";BTA 8% 24 Novembre 2025;1 086;1,100;27;8,000;;;;;;;;;;;;
"TNOXRGYG8RL8";BTA 8% 24 Novembre 2025;938;0,950;27;8,000;;;;;;;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;23 065;20,999;31;9,090;;;;;;;;;;;;
TN0008000606;BTA 6,7% Avril 2028;755;0,800;12;7,500;;;;;;;;;;;;
TN0008000606;BTA 6,7% Avril 2028;4 722;5,000;12;7,500;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;195 686;20,000;25;8,990;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14 677;1,500;10;8,990;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29 353;3,000;3;8,990;;;;;;;;;;;;
"TNUWXR58DVH5";EMP NAT 2024 T1 CB TF;58 000;5,800;13;9,100;;;;;;;;;;;;
"TNUWXR58DVH5";EMP NAT 2024 T1 CB TF;10 500;1,050;13;9,100;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;2 826;3,000;10;7,600;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 919;0,400;14;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;73 476;7,500;18;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;961;0,098;60;8,990;;;;;;;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;12 231;1,250;90;8,990;;;;;;;;;;;;
