0;1;2;3;4;5;6;7;8;9;10;11
TN0008000580;BTA 6,3% Octobre 2026;2;-;36;-;34,217;-;-;-;-;-
TN0008000721;BTA 7,2% Fév 2027;22;1;7 477;600;7 353,015;576,638;9,61%;9,61%;9,61%;-
TN0008000655;BTA 6,6% 03/2027;6;1;3 174;70;3 049,501;71,244;9,30%;9,30%;9,30%;-
TN0008000747;BTA 7,2% Mai 2027;14;7;15 354;1 829;14 901,248;1 840,044;8,93%;9,65%;9,64%;06/01/2025
TN9EGII9CQ82;BTA 9,70% 14 octobre 2027;13;-;108 898;-;97 300,000;-;-;-;-;-
TN0008000770;BTA 7,3% Décem 2027;6;-;6 391;-;6 326,819;-;-;-;-;-
TN0008000796;BTA 7,5% Janvier 2028;4;3;12 221;720;12 070,523;732,663;9,70%;9,72%;9,70%;13/01/2025
TN0008000606;BTA 6,7%Avril 2028;6;2;18 990;834;18 299,280;808,818;9,71%;9,74%;9,71%;13/01/2025
TN87SF5T9RO3;BTA 9,8% 31 Octobre 2028;10;-;99 253;-;93 100,000;-;-;-;-;-
TN0008000812;BTA 7,5% 13/12/2028;21;4;11 060;1 162;10 469,511;1 093,101;9,48%;9,80%;9,49%;13/01/2025
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;5;-;28 217;-;15 768,644;-;-;-;-;-
TNLRQIP0OJY4;BTA 9% septembre 2029;2;2;1 609;26 000;1 610,631;26 829,438;9,46%;9,82%;9,46%;-
TN0008000739;BTA 7,4%Févr 2030;8;-;62 001;-;30 405,688;-;-;-;-;-
TN0008000762;BTA 8% Novembre 2030;4;-;2 650;-;2 391,052;-;-;-;-;-
TNN0SOORH1F1;BTA 8,25% juin 2031;2;-;5 086;-;4 940,938;-;-;-;-;-
TNOODT102PF5;BTA 9,87% 22 Octobre 2031;9;-;103 414;-;55 224,576;-;-;-;-;-
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;-;15;-;113 898;-;114 785,473;9,85%;9,87%;9,85%;08/01/2025
TN0008000663;BTA 7,5% 07/2032;5;-;428;-;378,203;-;-;-;-;-
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;13;4;85 850;22 950;86 035,178;23 179,481;9,83%;9,84%;9,83%;06/01/2025
TNGNCCQYSMR1;BTA 9.9% decembre 2033;1;-;141 844;-;-;-;-;-;-;-
TNV7HGOLTYL8;BTA 9,83% 28 mars 2034;-;12;-;93 700;-;93 721,265;9,82%;10,00%;9,82%;-
