0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000655;BTA 6,6% Mars 2027;1 001;1,000;33;9,000;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;20 269;2,100;31;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;96 517;10,000;10;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9 652;1,000;20;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;38 607;4,000;10;8,990;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;48 259;5,000;10;8,990;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;12 000;1,200;20;9,600;;;;;;;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;15 000;1,500;20;9,600;;;;;;;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;1 440;1,500;145;9,840;;;;;;;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;492;0,500;53;8,750;;;;;;;;;;;;
TN0008000655;BTA 6,6% Mars 2027;701;0,701;10;9,000;;;;;;;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;60 000;6,000;12;9,100;;;;;;;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;50 000;5,000;13;9,100;;;;;;;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3 379;0,350;10;8,990;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;1 911;2,100;31;8,250;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1 893;2,000;21;8,990;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1 135;1,200;31;8,890;;;;;;;;;;;;
