0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000622;;BTA 6,3% Mars 2026;2,01;;;;;;
;TN0008000622;;BTA 6,3% Mars 2026;2,01;;;;;;
;TN0008000655;;BTA 6,6% Mars 2027;2,01;;;;;;
;TN0008000655;;BTA 6,6% Mars 2027;2,52;;;;;;
;TN0008000721;;BTA 7,2% Fevrier 2027;19,66;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;1,20;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;18,13;;;;;;
;TNAAGB5WL0L0;;BH LEASING 2024-2;0,40;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;2,01;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,50;;;;;;
;TNN34MAL82X0;;MICROCRED 2024-1  TF;1,92;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;3,01;;;;;;
;TNN50G7PX8W5;;EMP NAT 2023 T2 CB TV;0,70;;;;;;
;TNX0K9990B08;;EMP NAT 2024 T2 CB TF;4,51;;;;;;
;TNXJGTXAROH4;;BTA 9,90% 26 décembre 2034;5,04;;;;;;
;TNZW31OFWNB5;;MICROCRED 2024-1 TV;0,71;;;;;;
