0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
;ISIN;;;Libelle;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000812;BTA 7,5% 13/12/2028;3 314;3,445;11;7,990;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;587;0,610;11;7,990;;;;;;;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;538;0,559;11;7,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 892;0,500;20;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9 783;1,000;20;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 913;0,400;20;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;44 020;4,500;20;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 913;0,400;29;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;68 476;7,000;11;8,990;;;;;;;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;8 300;7,600;343;8,890;;;;;;;;;;;;
TN0008000747;BTA 7,2% Mai 2027;5 927;6,001;22;9,000;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;4 145;4,000;20;7,990;;;;;;;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;3 110;3,000;20;7,990;;;;;;;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;4 000;0,400;33;9,000;;;;;;;;;;;;
TNNR35P1MXQ0;BTC 52 semaines 02052025;60 788;59,999;32;8,450;;;;;;;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;2 000;0,200;33;9,000;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29 347;3,000;111;9,840;;;;;;;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23 660;2,550;7;8,000;;;;;;;;;;;;
TN0008000622;BTA 6,3% Mars 2026;706;0,750;4;8,990;;;;;;;;;;;;
TN0008000606;BTA 6,7% Avril 2028;2 642;2,800;15;8,990;;;;;;;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;74 000;7,400;13;9,100;;;;;;;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5 500;0,550;13;9,100;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;70 921;7,250;15;8,990;;;;;;;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2 935;0,300;11;7,490;;;;;;;;;;;;
