0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
;ISIN;;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
"TNN50G7PX8W5";;EMP NAT 2023 T2 CB TV;;8 200;0,820;30;8,750;;;;;;;;;;;;
"TNUWXR58DVH5";;EMP NAT 2024 T1 CB TF;;62 500;6,250;13;9,100;;;;;;;;;;;;
TNRS9CVT3SJ7;;EMP NAT 2023 T3 CB TV;;7 500;0,750;9;9,100;;;;;;;;;;;;
TNRS9CVT3SJ7;;EMP NAT 2023 T3 CB TV;;7 500;0,750;10;9,100;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;7 833;0,800;10;8,990;;;;;;;;;;;;
"TNXJGTXAROH4";;BTA 9,90% 26 décembre 2034;;1 470;1,499;30;8,400;;;;;;;;;;;;
"TNXJGTXAROH4";;BTA 9,90% 26 décembre 2034;;1 960;1,999;10;7,990;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;58 741;6,000;16;8,990;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;48 951;5,000;30;8,990;;;;;;;;;;;;
