0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;0,51;;;;;;
TN0008000622;BTA 6,3% Mars 2026;0,30;;;;;;
TN0008000622;BTA 6,3% Mars 2026;0,30;;;;;;
TN0008000655;BTA 6,6% Mars 2027;1,00;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,30;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,00;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;6,02;;;;;;
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;0,80;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4,81;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,70;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8,03;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;0,15;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;2,55;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;1,11;;;;;;
TNFGSJPDAWE9;ENDA TAMWEEL 2023-1 CA TV;1,60;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,65;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;3,53;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,65;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,73;;;;;;
