0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
;ISIN;;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
TN0008000705;;BTA 6,5% Juin 2025;;479;0,500;30;8,990;;;;;;;;;;;;
"TNUWXR58DVH5";;EMP NAT 2024 T1 CB TF;;3 800;0,380;332;9,100;;;;;;;;;;;;
TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;;70 000;7,000;91;8,990;;;;;;;;;;;;
TN0008000812;;BTA 7,5% 13/12/2028;;3 198;3,333;10;7,990;;;;;;;;;;;;
TN0008000812;;BTA 7,5% 13/12/2028;;587;0,611;10;7,990;;;;;;;;;;;;
TN0008000812;;BTA 7,5% 13/12/2028;;538;0,560;10;7,990;;;;;;;;;;;;
TN0008000812;;BTA 7,5% 13/12/2028;;3 160;3,000;59;9,000;;;;;;;;;;;;
TN0008000721;;BTA 7,2% Fevrier 2027;;2 000;2,000;325;8,500;;;;;;;;;;;;
"TNN50G7PX8W5";;EMP NAT 2023 T2 CB TV;;9 000;0,900;16;9,100;;;;;;;;;;;;
"TNUWXR58DVH5";;EMP NAT 2024 T1 CB TF;;77 000;7,700;16;9,100;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;4 773;0,500;39;8,990;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;28 635;3,000;14;8,990;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;6 682;0,700;18;8,990;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;2 864;0,300;7;7,490;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;75 406;7,900;18;8,990;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;2 864;0,300;14;8,990;;;;;;;;;;;;
TN0008000812;;BTA 7,5% 13/12/2028;;5 180;5,400;42;8,250;;;;;;;;;;;;
TN0008000747;;BTA 7,2% Mai 2027;;985;1,000;11;8,990;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;109 768;11,500;30;8,990;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;14 318;1,500;30;8,990;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;4 773;0,500;21;8,990;;;;;;;;;;;;
TN0008000747;;BTA 7,2% Mai 2027;;2 068;2,100;30;7,990;;;;;;;;;;;;
TN0008000747;;BTA 7,2% Mai 2027;;147;0,149;30;8,740;;;;;;;;;;;;
TN0008000747;;BTA 7,2% Mai 2027;;128;0,130;30;8,740;;;;;;;;;;;;
"TNXJGTXAROH4";;BTA 9,90% 26 décembre 2034;;2 249;2,300;35;8,250;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;9 545;1,000;11;8,990;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;2 625;0,275;30;8,490;;;;;;;;;;;;
TNFC8O7A98F4;;EMP NAT 2024 T3 CB TF;;19 090;2,000;43;8,990;;;;;;;;;;;;
"TNAO0T7V1X56";;EMP NAT 2024 T3 CB TV;;96 112;10,000;178;8,990;;;;;;;;;;;;
"TNHUVZNLATV4";;BTA 8% 31 Janvier 2029;;4 113;3,922;318;8,740;;;;;;;;;;;;
"TNHUVZNLATV4";;BTA 8% 31 Janvier 2029;;1 131;1,078;318;8,740;;;;;;;;;;;;
