0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
;ISIN;;;;Libelle;;;;Nombre de Titres;;;Montant;;;Echéance;;;Taux;
"TNXJGTXAROH4";;BTA 9,90% 26 décembre 2034;;4 902;5,000;61;9,120;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;34 267;3,500;9;8,990;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;4 896;0,500;30;8,990;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;9 791;1,000;9;8,990;;;;;;;;;;;;
TNCYAUILJ413;;BTA 9,87% 08 Janvier 2032;;346;0,351;96;7,990;;;;;;;;;;;;
TN0008000739;;BTA 7,4% Fevrier 2030;;39 567;35,999;14;8,850;;;;;;;;;;;;
TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;;57 000;5,700;13;9,100;;;;;;;;;;;;
TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;;12 000;1,200;12;9,100;;;;;;;;;;;;
TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;;12 000;1,200;13;9,100;;;;;;;;;;;;
TN0008000655;;BTA 6,6% Mars 2027;;995;1,001;16;8,990;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;9 791;1,000;16;8,990;;;;;;;;;;;;
TNX0K9990B08;;EMP NAT 2024 T2 CB TF;;10 000;1,000;36;8,850;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;9 791;1,000;8;8,990;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;39 162;4,000;119;9,840;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;2 693;0,275;12;8,990;;;;;;;;;;;;
TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;;73 428;7,500;16;8,990;;;;;;;;;;;;
